date,campaign,new_clients_autocredenciamento,new_clients,investment_digital_marketing,audience
2023-01-01,0,399,750,122.89,NA
2023-01-02,0,904,2658,289.18,NA
2023-01-03,0,1121,2504,410.2,NA
2023-01-04,0,1710,3925,599.61,NA
2023-01-05,0,1163,4115,417.19,NA
2023-01-06,0,705,3483,273.49,NA
2023-01-07,0,872,2130,328.89,NA
2023-01-08,0,983,1278,382.35,NA
2023-01-09,0,762,4620,216.65,NA
2023-01-10,0,1635,3921,626.75,NA
2023-01-11,0,1367,5790,547.69,NA
2023-01-12,0,966,3872,300.49,NA
2023-01-13,0,894,4462,345.14,NA
2023-01-14,0,767,2760,287.1,NA
2023-01-15,0,497,938,153.25,NA
2023-01-16,0,1396,3887,523.63,NA
2023-01-17,0,1503,6261,510.6,NA
2023-01-18,0,1372,3427,491.17,NA
2023-01-19,0,1691,5097,577.75,NA
2023-01-20,0,1113,3539,400.67,NA
2023-01-21,0,913,2376,287.15,NA
2023-01-22,0,577,2024,188.46,NA
2023-01-23,0,1151,3210,473.01,NA
2023-01-24,0,1303,4154,506.2,NA
2023-01-25,0,1402,5388,447.71,NA
2023-01-26,0,994,3448,354.12,NA
2023-01-27,0,1242,2319,476.36,NA
2023-01-28,0,864,1478,358.31,NA
2023-01-29,0,582,2073,214.37,NA
2023-01-30,0,1068,3717,360.62,NA
2023-01-31,0,1263,4211,384.49,NA
2023-02-01,0,1031,4213,294.8,NA
2023-02-02,0,1451,3660,604.82,NA
2023-02-03,0,1500,6050,463.41,NA
2023-02-04,0,832,3816,325.96,NA
2023-02-05,0,899,1832,321.08,NA
2023-02-06,0,1376,4881,400.76,NA
2023-02-07,0,1435,4021,546.25,NA
2023-02-08,0,1369,5164,443.41,NA
2023-02-09,0,1345,4498,442.23,NA
2023-02-10,0,1454,4042,606.31,NA
2023-02-11,0,817,1498,324.72,NA
2023-02-12,0,780,2288,317.62,NA
2023-02-13,0,1004,4319,345.3,NA
2023-02-14,0,954,5034,386.91,NA
2023-02-15,0,1658,7055,528.92,NA
2023-02-16,0,1282,3726,406.03,NA
2023-02-17,0,840,2419,240.64,NA
2023-02-18,0,779,1802,319.97,NA
2023-02-19,0,701,1102,219.3,NA
2023-02-20,0,850,2449,259.15,NA
2023-02-21,0,569,1639,233.02,NA
2023-02-22,0,775,2916,268.53,NA
2023-02-23,0,1145,4143,327.41,NA
2023-02-24,0,1103,4382,416.78,NA
2023-02-25,0,742,3165,248.49,NA
2023-02-26,0,1215,2946,424.36,NA
2023-02-27,0,1564,5801,618.74,NA
2023-02-28,0,1028,4974,325.45,NA
2023-03-01,0,1563,5366,461.56,NA
2023-03-02,0,1281,4913,462.6,NA
2023-03-03,0,1047,4878,315.04,NA
